Strain,Type,Description ,Personal experience
Obama Kush,Indica,"Its high easily lasts for more than two hours and is top notch. Not only is it nice and smooth but it is clean, which is quite rare. Even though you will feel a mellow impact, you will not have to worry about experiencing paranoia that is usually the case with other similar strains. It is safe to say it is transcendental as you will be bursting with new ideas. If you are particularly fond of music and have an instrument nearby, you could end up composing something out of this world, or maybe not. ",You'll get munchies and ideas
Delta 8,Hybrid,"Delta 8 barely exists. The result of a complex cannabinoid conversion process, Delta 8 is prized for unique effects that no other cannabinoid can produce. Starting with high potency Delta 9 distillate, Nate and the Jetty team use a catalyst to rearrange cannabinoid molecules, creating Delta 8 THC. We tap our most trusted small farmers for the finest flower, using cryo-distillation to extract and reintroduced terpenes into this pure and potent oil. It’s a long-lasting, whole-body high that lives up to the legend.",
Sour Joker,Sativa,"Sour Joker is a sativa dominant hybrid (80% sativa/20% indica) strain created through crossing the infamous Amnesia Haze X East Coast Sour Diesel strains. You'll feel energetic and uplifted throughout the duration of the high with just a touch of focus that quickly turns to haziness and pure bliss. A light body high accompanies this giggly cerebral effect, keeping you relaxed physically as your mind soars through happiness.  these sativa heavy effects make Sour Joker perfect for treating chronic fatigue, depression, headaches or migraines, and chronic pain. ",It made you dizzy though.
Cookies,Indica,"Cookies, also known more commonly as “Girl Scout Cookies,” is an indica dominant hybrid (60% indica/40% sativa) strain created through a three-way cross of the potent OG Kush X Durban Poison X Cherry Kush strains. This tasty bud has a cult following because of its cookie-like flavors and super sweet hybrid effects. Cookies has a taste of earthy kush with accents of sweet cherries and nutty lemon. The aroma is very similar, with an earthy nuttiness accented by a slight pungency and smooth sweet vanilla and spices. This bud has oversized spade-shaped dark olive green nugs with bright fiery orange hairs, amber colored crystal trichomes, and visible droplets of sticky sweet resin. The Cookies high is just as sweet as the flavor, with well-balanced effects that would please the pickiest of connoisseurs. It starts with a euphoric cerebral high that instantly boosts your mood and replaces negative thoughts with an introspective energy. This is accompanied by a long-lasting body high that melts you into wherever you are sitting and infuses you with an unquenchable feeling of hunger. These effects and its 24% average THC. level make Cookies perfect for treating conditions such as chronic stress or anxiety, appetite loss, depression, nausea, and chronic pain.",You'll get munchies
Orange Herijuana,CBD,"Great recreationally for hiking or outdoor relaxation, this strain makes an easy weekend afternoon so much better. Medicinally, this moderate strain will help alleviate minor pains while providing an uplifting experience that allows the patient to stay active and pain-free. Helps to ease ones'mind, get relief from anxiety, get ideas and work. You will feel relaxed and blissful. ","Great for work, ideas and munchies"
Blue Dream,Sativa,"Blue Dream is a sativa-dominant hybrid marijuana strain made by crossing Blueberry with Haze. This strain produces a balanced high, along with effects such as cerebral stimulation and full-body relaxation. Blue dream is 18% THC but has a low CBD percentage, making this a potent strain. Delivers swift symptom relief without heavy sedative effects. This makes Blue Dream a popular daytime medicine for patients treating pain, depression, nausea, and other ailments requiring a high THC strain.","You'll get munchies, It will help you come up with ideas"
Layer Cake,Hybrid,"Layer Cake is a slightly indica dominant hybrid strain (60% indica/40% sativa). The Layer Cake high is one for the ages, with a notable social energy and relaxing body that is perfect for those lazy nights spent indoors catching up on your favorite shows with your friends or roommates. The high starts with a heady effect, filling your mind with a lifted and outgoing energy that has you jumping in and out of conversations with ease. A heavy body high comes next, locking you to the couch and leaving you feeling pretty sedated and immovable before a case of the munchies kicks in. Thanks to these effects and its insanely high 32% + average THC level, Layer Cake is often suggested for treating experienced patients suffering from chronic stress or anxiety, chronic pain, depression, muscle spasms or cramps and insomnia. ","High chance of getting a headache, so be careful."
Dolato,Indica,"Dolato, also known as Do-Si-Lato or Dosilato, is an indica-dominant strain created by crossing Do-Si-Dos with Gelato #41. This strain has a beautiful range of colors in its colas—from light to dark green and red-wine purple to bright orange, all dusted with diamond-like trichomes. Dolato’s terpene profile features a fruity, earthy scent followed by a sweet lavender taste. Dolato may leave people feeling stress-free and sedated, making it perfect for a slowed-down night in, perhaps paired with a bath and a book. ",Helps to come up with ideas.
King Louis,Indica,"You will feel relaxed, sleepy and have munchies","You will feel relaxed, sleepy and have munchies"
Brownie Scout,Indica,"Brownie Scout is thought to be one of the strongest strains you can smoke, which means anyone with a low THC tolerance should be cautious when trying this strain. Smoking Brownie Scout will give you a sedated, euphoric, full-body high that is ideal for night time use or on days when you're stuck inside. Medical marijuana patients choose Brownie Scout for its sleep-inducing qualities. relaxing and hazy head paired with a super heavy body. You’ll feel lifted and euphoric throughout the duration of this high, bolstering your spirits without adding any energy. Your body will be fully melted to the couch, leaving you completely immovable and pretty sedated before you finally fade away and fall fully asleep for hours on end. Has been found to treat those suffering from conditions such as chronic stress or anxiety, insomnia, chronic fatigue and chronic pain. ",Helps to come up with ideas.
Banana Sundae,Sativa,"Banana Sundae is a sativa dominant hybrid strain created through a cross of the delicious Banana OG X Sundae Driver strains. Banana Sundae packs a pretty vibrant high, with energizing and lifted effects that are perfect for when you want to get up and moving and need a little extra help to get there. You'll feel a sense of cerebral euphoria smash into you almost as soon as you exhale, filling you with a lifted sense of happy energy and focused creativity. This energy soon spreads throughout the rest of your body, leaving you physically relaxed while still energized. With these effects and its moderately high 14-18% average THC level, Banana Sundae is often chosen to treat chronic fatigue, depression, chronic stress, appetite loss or nausea, ADD or ADHD and chronic pain.",
Killer Queen,Sativa,"Uplifting and thought-provoking, this hybrid is great for the workaholic who would like some daytime relief. The effects of this strain are felt most heavily in the face, eyes, and forehead. If you are searching for an energizing strain that allows you to focus, Killer Queen may be just the perfect match. With THC levels topping out at 16%, this is a great choice for a mellow, relaxing head high that induces creativity and delivers a peppy mood boost. The euphoria is relatively strong, coupled with an energy that's perfect for daytime activities. This strain hits right between the eyes, with the high strongest in the face, eyes, and forehead. With a sweet, pungent smell and taste, Killer Queen is reminiscent of the tropics. It works best on pain and depression, though it also helps with anxiety and inflammation. Dry mouth is the most common side effect, while limited paranoia and red eyes are also possible. This is a good strain for easing through a difficult day without losing energy or ambition.

Effects: Aroused, Creative, Energizing, Euphoria, Focus, Happy, Uplifting",Gives energy and helps to come up with ideas.
Chocolate Bananas,Indica,"An indica dom cross of Chocolate Rain and True OG. People who have tried this strain report bunches of effects. Generally, people say Chocolate Bananas had them immediately peeling back layers of stress and anxiety before slipping into a tranquil state of complete relaxation and calm. Although Chocolate Banana generally inspires peaceful vibes, it splits from other indicas by avoiding the sedating, sleepy effects that consumers tend to experience with strains on this side of the spectrum.

people say Chocolate Banana had them immediately peeling back layers of stress and anxiety before slipping into a tranquil state of complete relaxation and calm. Although Chocolate Banana generally inspires peaceful vibes, it splits from other indicas by avoiding the sedating, sleepy effects that consumers tend to experience with strains on this side of the spectrum.

Although the high people experience with Chocolate Banana is typically grounding and clear-headed, this is still an ideal evening strain. Enjoy Chocolate Banana as an after-dinner weeknight treat and you may find yourself kicking back with a good book or TV show, a stimulating video game, or just contemplating and reflecting on the past day.

Along with assisting any end-of-day wind down routine, Chocolate Banana is also known for helping people crave it's very namesake. Anyone who needs an appetite stimulant or help battling nausea will probably appreciate this strain’s tendency to spark some serious snacking. However, if you’re looking to avoid an all-out munchies binge, plan ahead to address any food cravings by having a healthy treat on hand.",You'll get munchies
